itemId,name,championName,obtained
63008,Eternal Dragon Brand,Brand,2024-07-28 15:29:15
131047,Winterblessed Diana,Diana,2024-07-24 18:15:12
147043,Battle Dove Seraphine,Seraphine,2024-07-22 18:52:36
902011,Rain Shepherd Milio,Milio,2024-07-21 15:17:02
32008,Surprise Party Amumu,Amumu,2024-07-21 15:14:40
64005,Pool Party Lee Sin,LeeSin,2024-07-20 07:03:57
122015,God-King Darius,Darius,2024-07-19 20:27:17
35006,Masked Shaco,Shaco,2024-07-17 15:16:09
53022,Witch's Brew Blitzcrank,Blitzcrank,2024-07-17 15:15:53
895001,Star Guardian Nilah,Nilah,2024-07-17 15:14:18
23003,Viking Tryndamere,Tryndamere,2024-07-17 15:12:22
360010,Space Groove Samira,Samira,2024-07-17 15:10:08
238003,PROJECT: Zed,Zed,2024-07-17 15:08:20
1009,Sweetheart Annie,Annie,2024-07-17 15:07:48
498003,SSG Xayah,Xayah,2024-07-17 15:07:11
37001,Muse Sona,Sona,2024-07-17 15:06:22
161003,Definitely Not Vel'Koz,Velkoz,2024-07-17 15:05:24
78001,Noxus Poppy,Poppy,2024-07-17 15:04:41
45004,Leprechaun Veigar,Veigar,2024-07-17 15:04:16
4008,Red Card Twisted Fate,TwistedFate,2024-07-17 15:03:51
111003,AstroNautilus,Nautilus,2024-07-17 15:03:28
518012,Shan Hai Scrolls Neeko,Neeko,2024-07-17 15:01:06
950001,Soul Fighter Naafiri,Naafiri,2024-07-17 15:00:53
221019,Immortal Journey Zeri,Zeri,2024-07-17 15:00:44
117046,Cafe Cuties Lulu,Lulu,2024-06-22 11:22:16
83012,Resistance Yorick,Yorick,2024-03-29 13:01:18
25026,Coven Morgana,Morgana,2024-03-25 20:19:04
8021,Cosmic Devourer Vladimir,Vladimir,2023-06-25 21:26:05
236001,Hired Gun Lucian,Lucian,2023-06-25 21:25:43
86002,Desert Trooper Garen,Garen,2023-06-25 21:21:09
51013,Pool Party Caitlyn,Caitlyn,2023-06-25 21:21:03
101002,Battlecast Xerath,Xerath,2023-06-25 21:20:49
89004,Pool Party Leona,Leona,2023-06-25 21:20:36
99014,Pajama Guardian Lux,Lux,2023-06-25 21:20:21
31004,Jurassic Cho'Gath,Chogath,2023-06-25 21:20:08
4007,Underworld Twisted Fate,TwistedFate,2023-06-25 21:19:48
432017,Cafe Cuties Bard,Bard,2023-06-25 21:19:29
150002,Gentleman Gnar,Gnar,2023-06-25 21:19:04
3003,Commando Galio,Galio,2023-06-25 21:18:35
54001,Shamrock Malphite,Malphite,2023-06-25 21:18:21
498017,Brave Phoenix Xayah,Xayah,2023-06-20 18:52:08
39018,High Noon Irelia,Irelia,2023-06-19 20:35:43
136011,Storm Dragon Aurelion Sol,AurelionSol,2023-06-16 22:17:46
106001,Thunder Lord Volibear,Volibear,2023-05-30 13:19:56
25050,Star Nemesis Morgana,Morgana,2023-05-28 17:09:02
164011,Arcana Camille,Camille,2023-05-13 13:09:32
875001,Mecha Kingdoms Sett,Sett,2023-05-13 12:15:47
91029,Withered Rose Talon,Talon,2023-05-10 09:34:33
82002,Infernal Mordekaiser,Mordekaiser,2023-05-08 12:36:27
119020,Ruined Draven,Draven,2023-04-25 15:42:03
432008,Astronaut Bard,Bard,2023-02-09 11:32:20
154006,SKT T1 Zac,Zac,2023-02-05 12:54:09
126001,Full Metal Jayce,Jayce,2023-01-31 18:12:14
133002,Woad Scout Quinn,Quinn,2023-01-28 12:38:20
523020,Spirit Blossom Aphelios,Aphelios,2023-01-27 13:47:11
268002,Gravelord Azir,Azir,2023-01-27 13:11:42
223003,Coin Emperor Tahm Kench,TahmKench,2023-01-21 21:29:15
26006,Sugar Rush Zilean,Zilean,2023-01-19 18:11:21
497005,Star Guardian Rakan,Rakan,2023-01-19 18:11:14
516011,Space Groove Ornn,Ornn,2023-01-19 18:10:01
34005,Blackfrost Anivia,Anivia,2023-01-19 18:09:52
44004,Pool Party Taric,Taric,2023-01-19 18:09:22
45023,Furyhorn Cosplay Veigar,Veigar,2023-01-01 14:13:41
60005,Super Galaxy Elise,Elise,2022-12-15 18:09:13
245011,SKT T1 Ekko,Ekko,2022-12-15 18:08:34
127004,Coven Lissandra,Lissandra,2022-12-13 11:31:05
1003,Annie in Wonderland,Annie,2022-12-13 11:30:00
76007,Warring Kingdoms Nidalee,Nidalee,2022-12-13 11:28:57
412004,SSW Thresh,Thresh,2022-12-11 21:32:48
78016,Astronaut Poppy,Poppy,2022-12-11 21:30:23
254004,Demon Vi,Vi,2022-12-08 15:52:05
74004,Snowmerdinger,Heimerdinger,2022-12-08 15:51:09
61001,Gothic Orianna,Orianna,2022-12-08 15:51:04
90038,Three Honors Malzahar,Malzahar,2022-12-08 01:31:04
113036,Victorious Sejuani,Sejuani,2022-12-02 01:35:15
24013,God Staff Jax,Jax,2022-11-30 12:26:40
56007,Old God Nocturne,Nocturne,2022-11-30 12:26:34
161004,Infernal Vel'Koz,Velkoz,2022-11-29 20:32:48
427001,Candy King Ivern,Ivern,2022-11-29 20:31:19
33005,Ninja Rammus,Rammus,2022-11-10 23:09:32
85023,DWG Kennen,Kennen,2022-11-09 11:10:15
19001,Grey Warwick,Warwick,2022-11-09 08:07:53
12007,Sweeper Alistar,Alistar,2022-09-09 08:22:10
38006,Count Kassadin,Kassadin,2022-08-31 16:00:21
115005,Master Arcanist Ziggs,Ziggs,2022-08-29 09:55:20
68004,Badlands Baron Rumble,Rumble,2022-08-28 13:14:57
36004,Mundo Mundo,DrMundo,2022-08-19 06:23:22
119029,Debonair Draven,Draven,2022-08-19 06:23:13
9009,Praetorian Fiddlesticks,Fiddlesticks,2022-08-18 08:16:50
51005,Officer Caitlyn,Caitlyn,2022-08-18 08:16:38
104007,Snow Day Graves,Graves,2022-08-18 08:16:27
41001,Spooky Gangplank,Gangplank,2022-08-18 08:15:46
35023,Crime City Nightmare Shaco,Shaco,2022-08-12 06:33:25
60015,Withered Rose Elise,Elise,2022-07-24 11:02:52
266002,Mecha Aatrox,Aatrox,2022-07-02 11:22:27
57024,Astronaut Maokai,Maokai,2022-07-02 11:21:57
127002,Blade Queen Lissandra,Lissandra,2022-06-17 13:58:02
15025,Odyssey Sivir,Sivir,2022-06-06 07:17:57
202023,DWG Jhin,Jhin,2022-06-05 12:32:01
63003,Cryocore Brand,Brand,2022-05-30 16:41:39
89010,Solar Eclipse Leona,Leona,2022-05-23 16:14:06
420002,Resistance Illaoi,Illaoi,2022-05-23 16:13:49
112004,Death Sworn Viktor,Viktor,2022-05-23 16:13:35
74003,Piltover Customs Heimerdinger,Heimerdinger,2022-03-16 09:49:49
517001,Lunar Wraith Sylas,Sylas,2022-03-01 10:10:13
122033,Crime City Nightmare Darius,Darius,2022-03-01 10:09:17
421009,Blackfrost Rek'Sai,RekSai,2022-02-20 21:45:13
89012,Mecha Kingdoms Leona,Leona,2022-02-20 19:00:48
3006,Birdio,Galio,2022-02-19 21:57:56
43004,Order of the Lotus Karma,Karma,2022-02-19 21:57:26
11009,PROJECT: Yi,MasterYi,2022-02-08 10:09:52
42008,Arcade Corki,Corki,2022-02-02 21:59:09
50012,Crystal Rose Swain,Swain,2022-02-02 21:58:32
18003,Firefighter Tristana,Tristana,2022-02-02 15:09:01
267024,Cosmic Destiny Nami,Nami,2022-02-02 15:05:06
27010,Resistance Singed,Singed,2022-01-28 11:46:01
134016,Withered Rose Syndra,Syndra,2022-01-07 10:40:32
48001,Lil' Slugger Trundle,Trundle,2022-01-02 17:06:33
150013,Super Galaxy Gnar,Gnar,2022-01-02 16:13:26
99008,Lunar Empress Lux,Lux,2021-12-14 11:03:37
17001,Happy Elf Teemo,Teemo,2021-12-10 14:49:32
141008,Nightbringer Kayn,Kayn,2021-12-06 09:36:37
711001,Dawnbringer Vex,Vex,2021-11-30 19:11:34
555001,Sand Wraith Pyke,Pyke,2021-11-30 19:11:27
91012,Enduring Sword Talon,Talon,2021-11-30 18:54:55
29003,Medieval Twitch,Twitch,2021-11-22 19:20:17
53036,Victorious Blitzcrank,Blitzcrank,2021-11-19 21:29:34
254029,Arcane Vi,Vi,2021-11-17 15:57:20
245019,True Damage Ekko,Ekko,2021-11-17 15:57:09
5020,Cosmic Defender Xin Zhao,XinZhao,2021-11-17 15:56:54
222001,Crime City Jinx,Jinx,2021-11-17 15:56:30
39026,Sentinel Irelia,Irelia,2021-11-17 15:41:54
126024,Arcane Jayce,Jayce,2021-11-11 07:49:04
45008,Final Boss Veigar,Veigar,2021-11-08 16:24:38
240002,Count Kledula,Kled,2021-11-08 16:24:24
80005,Glaive Warrior Pantheon,Pantheon,2021-11-08 16:24:12
104001,Hired Gun Graves,Graves,2021-10-09 10:10:29
69009,Spirit Blossom Cassiopeia,Cassiopeia,2021-10-07 19:46:39
777001,Spirit Blossom Yone,Yone,2021-10-07 19:43:03
4003,The Magnificent Twisted Fate,TwistedFate,2021-10-01 09:23:31
7019,iG LeBlanc,Leblanc,2021-09-27 18:55:10
55029,Battle Queen Katarina,Katarina,2021-09-27 18:55:02
2025,Sentinel Olaf,Olaf,2021-08-17 10:35:15
37017,PsyOps Sona,Sona,2021-08-10 23:24:44
6001,Giant Enemy Crabgot,Urgot,2021-08-06 09:12:00
131002,Lunar Goddess Diana,Diana,2021-07-22 07:48:19
31001,Nightmare Cho'Gath,Chogath,2021-07-14 21:59:33
59011,Pool Party Jarvan IV,JarvanIV,2021-06-30 06:39:56
6002,Butcher Urgot,Urgot,2021-06-26 20:46:53
103003,Foxfire Ahri,Ahri,2021-05-29 19:26:52
157017,Battle Boss Yasuo,Yasuo,2021-05-27 07:33:30
114022,Soaring Sword Fiora,Fiora,2021-04-20 17:59:24
56002,Void Nocturne,Nocturne,2021-04-20 14:29:42
246011,Battle Queen Qiyana,Qiyana,2021-04-20 14:23:28
61008,Victorious Orianna,Orianna,2018-11-21 04:48:11
72004,Guardian of the Sands Skarner,Skarner,2018-11-16 17:32:52
13010,SKT T1 Ryze,Ryze,2018-11-09 08:49:58
82003,Pentakill Mordekaiser,Mordekaiser,2018-10-11 18:50:57
84008,Sashimi Akali,Akali,2018-10-11 18:50:31
122003,Woad King Darius,Darius,2018-09-14 10:17:08
98002,Yellow Jacket Shen,Shen,2018-08-14 07:12:50
10007,Riot Kayle,Kayle,2016-10-18 18:36:29
429001,Blood Moon Kalista,Kalista,2016-02-02 03:53:15
15008,Victorious Sivir,Sivir,2015-11-13 16:55:29
110001,Blight Crystal Varus,Varus,2015-07-02 14:35:43
18006,Rocket Girl Tristana,Tristana,2015-04-18 04:41:28
105002,Tundra Fizz,Fizz,2015-04-18 04:40:22
18004,Guerilla Tristana,Tristana,2015-01-12 23:13:58
25006,Victorious Morgana,Morgana,2014-11-10 18:28:38
30005,Fnatic Karthus,Karthus,2014-10-31 05:34:49
92003,Battle Bunny Riven,Riven,2014-05-23 06:15:30
43003,Traditional Karma,Karma,2014-04-24 09:23:25
57001,Charred Maokai,Maokai,2014-04-24 09:22:10
21004,Candy Cane Miss Fortune,MissFortune,2014-04-24 09:21:55
53007,Riot Blitzcrank,Blitzcrank,2014-04-20 08:02:56
120004,Arcade Hecarim,Hecarim,2014-04-20 08:02:23
25005,Ghost Bride Morgana,Morgana,2014-04-10 05:43:20
64004,Muay Thai Lee Sin,LeeSin,2014-04-10 05:43:13
24007,Nemesis Jax,Jax,2014-04-02 09:03:13
99003,Commando Lux,Lux,2014-04-02 09:03:09
32005,Almost-Prom King Amumu,Amumu,2014-04-02 09:03:05
54003,Marble Malphite,Malphite,2014-04-02 09:03:01
40003,Frost Queen Janna,Janna,2014-04-01 07:22:32
143001,Wildfire Zyra,Zyra,2014-04-01 07:22:28
106002,Northern Storm Volibear,Volibear,2014-04-01 07:22:24
86006,Steel Legion Garen,Garen,2014-04-01 07:22:20
21006,Crime City Miss Fortune,MissFortune,2014-03-28 09:47:55
81005,Pulsefire Ezreal,Ezreal,2014-03-26 12:18:06
62003,Jade Dragon Wukong,MonkeyKing,2014-03-26 06:56:31
84005,Blood Moon Akali,Akali,2014-03-21 08:38:54
5005,Warring Kingdoms Xin Zhao,XinZhao,2014-03-20 01:14:25
86004,Dreadknight Garen,Garen,2014-03-13 06:53:47
79006,Oktoberfest Gragas,Gragas,2014-02-21 07:14:57
254001,Neon Strike Vi,Vi,2014-01-18 00:32:54
76006,Headhunter Nidalee,Nidalee,2013-12-21 07:59:15
102004,Ice Drake Shyvana,Shyvana,2013-12-20 13:23:32
19005,Feral Warwick,Warwick,2013-12-20 13:07:08
11004,Samurai Yi,MasterYi,2013-12-20 13:03:22
107001,Headhunter Rengar,Rengar,2013-12-20 07:10:47
53003,Boom Boom Blitzcrank,Blitzcrank,2013-12-20 04:27:15
13004,Triumphant Ryze,Ryze,2013-12-18 16:14:17
59005,Warring Kingdoms Jarvan IV,JarvanIV,2013-12-15 01:20:52
75005,Infernal Nasus,Nasus,2013-11-23 05:48:46
60002,Victorious Elise,Elise,2013-11-11 18:11:31
22005,Amethyst Ashe,Ashe,2013-11-05 05:46:50
33003,Molten Rammus,Rammus,2013-11-02 09:58:13
92002,Crimson Elite Riven,Riven,2013-11-01 12:23:58
57002,Totemic Maokai,Maokai,2013-11-01 11:46:32
8004,Vandal Vladimir,Vladimir,2013-10-31 11:22:26
19007,Hyena Warwick,Warwick,2013-10-31 10:44:46
96007,Jurassic Kog'Maw,KogMaw,2013-10-31 09:26:17
238001,Shockblade Zed,Zed,2013-08-16 03:12:05
60001,Death Blossom Elise,Elise,2013-08-16 03:12:00
77003,Spirit Guard Udyr,Udyr,2013-07-18 01:46:39
121001,Mecha Kha'Zix,KhaZix,2013-07-11 02:22:29
5004,Winged Hussar Xin Zhao,XinZhao,2013-07-05 02:38:18
13003,Uncle Ryze,Ryze,2013-07-02 02:07:37
23004,Demonblade Tryndamere,Tryndamere,2013-06-18 23:30:43
58002,Outback Renekton,Renekton,2013-05-28 02:27:25
98006,TPA Shen,Shen,2013-05-26 05:25:48
64003,Dragon Fist Lee Sin,LeeSin,2013-01-12 05:18:30
67004,Heartseeker Vayne,Vayne,2013-01-12 05:18:17
20001,Sasquatch Nunu & Willump,Nunu,2012-12-19 07:01:00
28002,Masquerade Evelynn,Evelynn,2012-12-19 07:00:50
17003,Badger Teemo,Teemo,2012-12-19 07:00:38
76002,Leopard Nidalee,Nidalee,2012-12-19 07:00:21
81001,Nottingham Ezreal,Ezreal,2012-12-19 07:00:18
24003,Angler Jax,Jax,2012-12-19 07:00:12
2002,Glacial Olaf,Olaf,2012-12-04 07:08:35
39004,Frostblade Irelia,Irelia,2012-11-23 00:01:04
24005,Jaximus,Jax,2012-11-02 05:17:57
104004,Riot Graves,Graves,2012-08-23 15:50:09
33006,Full Metal Rammus,Rammus,2012-08-23 15:50:09
16001,Dryad Soraka,Soraka,2012-06-14 22:14:22
18001,Riot Girl Tristana,Tristana,2012-04-16 08:15:33
12005,Unchained Alistar,Alistar,2012-04-13 08:40:20
